year,type,number
2011,thematic,58
2011,contry/region_specific,119
2012,thematic,44
2012,contry/region_specific,155
2013,thematic,56
2013,contry/region_specific,137
2014,thematic,82
2014,contry/region_specific,181
2015,thematic,78
2015,contry/region_specific,167
2016,thematic,78
2016,contry/region_specific,178
2017,thematic,91
2017,contry/region_specific,205
2018,thematic,80
2018,contry/region_specific,206
2019,thematic,70
2019,contry/region_specific,187
2020,thematic,65
2020,contry/region_specific,170
2021,thematic,75
2021,contry/region_specific,184
2022,thematic,84
2022,contry/region_specific,208
2023,thematic,86
2023,contry/region_specific,204
2024,thematic,98
2024,country/region_specific,205
